Date,EDP.LS,FRVIA.PA,ISP.MI,LHA.DE,QTS.F,TIT.MI
2020-09-04,4.136000156402588,40.880001068115234,1.7785999774932861,9.095999717712402,134.0,0.3935999870300293
2020-09-07,4.26200008392334,41.060001373291016,1.7937999963760376,9.008000373840332,135.0,0.3919999897480011
2020-09-08,4.172999858856201,41.47999954223633,1.7619999647140503,8.857999801635742,135.0,0.3831999897956848
2020-09-09,4.313000202178955,40.70000076293945,1.7901999950408936,8.711999893188477,137.0,0.3869999945163727
2020-09-10,4.291999816894531,41.939998626708984,1.801200032234192,8.682000160217285,136.0,0.3864000141620636
2020-09-11,4.28000020980835,41.09000015258789,1.7791999578475952,8.496000289916992,134.0,0.3790000081062317
2020-09-14,4.223999977111816,42.5,1.7790000438690186,8.670000076293945,137.0,0.37220001220703125
2020-09-15,4.238999843597412,39.70000076293945,1.7688000202178955,8.657999992370605,139.0,0.375
2020-09-16,4.254000186920166,38.90999984741211,1.760200023651123,8.803999900817871,138.0,0.3723999857902527
2020-09-17,4.21999979019165,37.630001068115234,1.743399977684021,9.053999900817871,135.0,0.3619999885559082
2020-09-18,4.2179999351501465,36.25,1.7148000001907349,8.60200023651123,132.0,0.35350000858306885
2020-09-21,4.173999786376953,33.77000045776367,1.635599970817566,7.788000106811523,130.0,0.34279999136924744
2020-09-22,4.114999771118164,34.77000045776367,1.641800045967102,7.446000099182129,130.0,0.3449000120162964
2020-09-23,4.171000003814697,35.439998626708984,1.6122000217437744,7.564000129699707,129.0,0.34599998593330383
2020-09-24,4.159999847412109,35.560001373291016,1.6080000400543213,7.288000106811523,127.0,0.3463999927043915
2020-09-25,4.159999847412109,35.029998779296875,1.5789999961853027,7.050000190734863,130.0,0.33799999952316284
2020-09-28,4.170000076293945,36.060001373291016,1.6246000528335571,7.414000034332275,134.0,0.3465000092983246
2020-09-29,4.140999794006348,36.13999938964844,1.6067999601364136,7.257999897003174,132.0,0.3407999873161316
2020-09-30,4.195000171661377,36.91999816894531,1.6030000448226929,7.360000133514404,135.0,0.34200000762939453
2020-10-01,4.276000022888184,36.86000061035156,1.586400032043457,7.300000190734863,134.0,0.33570000529289246
2020-10-02,4.275000095367432,37.040000915527344,1.5923999547958374,7.052000045776367,133.0,0.33980000019073486
2020-10-05,4.242000102996826,38.029998779296875,1.6332000494003296,7.159999847412109,136.0,0.35269999504089355
2020-10-06,4.211999893188477,38.83000183105469,1.6684000492095947,7.644000053405762,137.0,0.35920000076293945
2020-10-07,4.320000171661377,39.4900016784668,1.648800015449524,7.716000080108643,138.0,0.35030001401901245
